rgn_id_2,num_spp_tb,num_spp_sc,rgn_nam_2,num_spp_tb_th,num_spp_sc_th
1,3166,1,Cocos Islands,49,0
2,3225,1,Christmas Island,28,1
3,3488,4,Norfolk Island,52,1
4,1029,3,Macquarie Island,21,0
5,8154,45,New Caledonia,142,1
6,7689,4,Vanuatu,123,0
7,8058,5,Solomon Islands,189,0
8,7524,1,Palau,116,0
9,7229,3,Micronesia,153,1
10,5689,0,Nauru,31,0
11,6969,4,Marshall Islands,110,0
12,2206,0,Wake Island,33,0
13,4435,7,Northern Mariana Islands and Guam,90,0
14,8827,17,Taiwan,193,5
15,9431,45,Philippines,276,6
16,11033,706,Australia,222,32
17,9469,17,Papua New Guinea,237,4
18,7974,18,Fiji,135,1
19,4815,0,Tuvalu,115,0
20,2820,1,South Korea,55,0
21,1419,0,North Korea,39,0
24,2450,0,Cambodia,120,0
25,4571,4,Thailand,226,1
26,4035,4,Andaman and Nicobar,102,0
28,4488,1,Comoro Islands,95,0
29,4648,0,Mayotte,93,0
30,4443,0,Glorioso Islands,87,0
31,4827,5,Seychelles,105,0
32,3394,4,Reunion,94,1
33,4558,0,Juan de Nova Island,89,0
34,3414,0,Bassas da India,26,0
35,3369,0,Ile Europa,28,0
36,2221,0,Ile Tromelin,21,0
37,4542,8,Mauritius,110,1
38,4319,3,British Indian Ocean Territory,102,0
39,4701,5,Maldives,84,0
40,4720,2,Sri Lanka,133,0
41,5144,8,Mozambique,130,1
42,5169,20,Madagascar,122,4
43,4771,2,Kenya,95,1
44,5003,1,Somalia,102,1
45,2176,1,Eritrea,100,0
46,2386,0,Djibouti,74,0
47,4357,2,Yemen,120,1
48,3072,21,Oman,73,3
49,1884,0,Sudan,94,0
50,1983,3,Saudi Arabia,115,0
51,761,0,Kuwait,44,0
52,621,0,Bahrain,44,0
53,2072,2,Pakistan,69,0
54,1824,0,United Arab Emirates,53,0
55,1689,1,Azores,39,0
56,1381,45,Cape Verde,43,4
57,1344,3,Madeira,54,1
58,1447,1,Canary Islands,56,0
59,668,0,Belgium,22,0
61,1263,0,Tunisia,50,0
62,2046,0,Morocco,62,0
63,1454,0,Western Sahara,56,0
64,1165,0,Mauritania,56,0
65,1370,0,Gambia,61,0
66,1556,9,Senegal,66,8
67,965,0,Libya,44,0
68,926,0,Malta,38,0
69,97,0,Latvia,7,0
70,95,0,Estonia,7,0
71,205,0,Bulgaria,13,0
72,197,0,Romania,13,0
73,1815,7,Russia,52,0
74,167,0,Georgia,10,0
75,214,1,Ukraine,13,1
76,1143,0,Turkey,43,0
77,480,0,Syria,28,0
78,515,0,Lebanon,29,0
79,519,1,Israel,34,0
80,1244,2,Greece,45,0
81,509,0,Cyprus,32,0
82,873,0,Albania,41,0
84,1322,0,Algeria,47,0
85,1008,9,Ascension,27,2
86,785,7,Saint Helena,25,1
88,786,1,Tristan da Cunha,28,0
89,1066,26,South Georgia and the South Sandwich Islands,17,0
90,1242,0,Prince Edward Islands,19,0
91,1206,2,Crozet Islands,20,0
92,1104,6,Amsterdam Island and Saint Paul Island,25,0
93,1270,21,Kerguelen Islands,18,0
94,1139,0,Heard and McDonald Islands,16,0
95,1287,2,Falkland Islands,26,0
96,1391,1,Sierra Leone,52,0
97,1398,1,Liberia,54,0
98,1315,0,Togo,52,0
99,1327,0,Benin,52,0
100,948,1,Republique du Congo,52,0
101,1278,1,Namibia,54,0
102,4613,111,South Africa,98,18
103,1213,3,Sao Tome and Principe,40,1
104,1389,0,Equatorial Guinea,58,0
105,697,0,Bouvet Island,12,0
106,1391,0,Ghana,59,0
107,1844,8,Clipperton Island,34,5
108,1856,8,Bermuda,30,1
110,4491,13,Bahamas,69,2
111,3699,0,Turks and Caicos Islands,57,0
112,4421,2,Cuba,62,1
113,2161,3,Cayman Islands,50,3
114,3510,4,Haiti,54,0
115,3640,0,Dominican Republic,55,0
116,3906,2,Puerto Rico and Virgin Islands of the United States,60,0
117,3120,0,British Virgin Islands,59,0
118,3145,0,Anguilla,56,0
119,3059,0,Saint Kitts and Nevis,50,0
120,3052,0,Antigua and Barbuda,54,0
121,2917,0,Montserrat,50,0
122,3473,0,Saint Lucia,50,0
123,3303,0,Dominica,53,0
124,3041,2,Barbados,50,0
125,3265,0,Grenada,54,0
126,3021,3,Trinidad and Tobago,60,0
127,3410,0,Saint Vincent and the Grenadines,51,0
129,6655,28,Panama,80,9
130,6274,17,Costa Rica,82,8
131,6369,0,Nicaragua,68,0
132,6172,20,Colombia,89,6
133,4091,1,Honduras,56,0
134,2855,0,El Salvador,33,0
135,8133,174,Mexico,107,22
136,5276,0,Guatemala,66,0
137,3889,65,Ecuador,58,29
138,2546,6,Peru,51,0
139,4509,9,Venezuela,68,1
140,3593,3,Guadeloupe and Martinique,56,1
141,1201,0,Faeroe Islands,24,0
143,1365,2,Iceland,23,0
144,412,0,Jan Mayen,11,0
145,931,0,Greenland,16,0
146,758,1,Pitcairn,29,0
147,4355,81,French Polynesia,77,4
148,3690,0,Line Group,58,0
149,2763,0,Jarvis Island,33,0
150,3179,0,Palmyra Atoll,41,0
151,3071,0,American Samoa,93,0
152,3307,0,Samoa,92,0
153,3395,3,Cook Islands,65,0
154,910,2,Niue,32,1
155,6465,10,Tonga,78,1
156,2406,0,Tokelau,30,0
157,3522,1,Phoenix Group,71,0
158,5160,0,Howland Island and Baker Island,33,0
159,2362,0,Johnston Atoll,34,0
161,4609,1,Wallis and Futuna,72,0
162,4039,111,New Zealand,64,11
163,11234,231,United States,141,12
164,4069,9,Belize,57,4
166,3627,0,Jamaica,52,0
167,3351,0,Guyana,40,0
168,3089,0,Suriname,42,0
169,2277,0,French Guiana,41,0
171,4356,123,Brazil,83,12
172,2113,11,Argentina,57,1
173,1658,0,Uruguay,61,0
174,77,0,Finland,5,0
175,1022,0,Denmark,23,0
176,800,0,Germany,21,0
177,808,0,Netherlands,22,0
178,109,0,Poland,7,0
179,2475,1,France,59,0
180,1929,0,United Kingdom,44,0
181,1906,1,Ireland,42,0
182,2587,3,Spain,63,0
183,2078,0,Portugal,56,0
184,1367,2,Italy,57,0
186,855,0,Montenegro,41,0
187,1176,1,Croatia,44,0
189,76,0,Lithuania,6,0
190,704,0,Qatar,44,0
191,2192,0,Iran,59,0
193,1470,0,Guinea Bissau,56,0
194,1438,1,Guinea,54,0
195,1359,0,Ivory Coast,56,0
196,1358,2,Nigeria,55,0
197,845,0,Cameroon,53,0
198,1335,1,Gabon,53,0
199,904,0,Democratic Republic of the Congo,49,0
200,1622,24,Angola,57,3
202,4826,2,Tanzania,94,0
203,6204,12,India,144,0
204,1111,0,Bangladesh,56,0
205,3880,4,Myanmar,136,1
206,8226,1,Malaysia,274,1
207,7429,1,Vietnam,173,0
208,1,0,Singapore,0,0
209,7750,11,China,106,1
210,9450,82,Japan,207,6
212,7051,0,Kiribati,114,0
213,1541,145,Antarctica,29,0
214,1934,5,Egypt,123,1
216,10099,75,Indonesia,305,11
218,3266,0,Canada,60,0
219,1020,0,Saint Pierre and Miquelon,28,0
221,2780,0,Northern Saint-Martin,51,0
222,610,0,Sweden,23,0
223,1372,2,Norway,32,0
224,2955,86,Chile,58,5
227,1061,0,Jersey,28,0
228,1023,0,Guernsey,29,0
231,5444,0,East Timor,227,0
237,3485,0,Oecussi Ambeno,28,0
244,3359,2,Curacao,32,0
245,3235,0,Bonaire,31,0
247,4866,0,Brunei,230,0
248,3243,0,Saba,52,0
249,2749,0,Sint Eustatius,27,0
250,4005,1,Aruba,60,1
999,9946,31,ABNJ,125,0
25501,3798,0,XD_JPN_KOR,49,0
25502,2508,0,XD_COL_JAM,22,0
25503,564,0,XD_NGA_STP,29,0
25504,1322,0,XD_EGY_SDN,94,0
25505,7538,0,XD_JPN_CHN_TWN,151,0
25506,7084,1,XD_SOUTHCHINASEA,120,0
25507,1160,0,XD_JPN_KOR_2,17,0
25508,6148,0,XD_AUS_IND_TLS,123,0
25509,5702,0,XD_AUS_PNG,145,0
25510,766,0,XD_KEN_SOM,28,0
25511,1138,0,XD_JPN_RUS,31,0
25512,1049,0,XD_ESH_MAR,47,0
25513,580,0,XD_TTO_VEN_GUY,20,0
