rgn_id_2,num_spp_tb_th,num_spp_sc_th
1,49,0
2,28,1
3,52,1
4,21,0
5,142,1
6,123,0
7,189,0
8,116,0
9,153,1
10,31,0
11,110,0
12,33,0
13,90,0
14,193,5
15,276,6
16,222,32
17,237,4
18,135,1
19,115,0
20,55,0
21,39,0
24,120,0
25,226,1
26,102,0
28,95,0
29,93,0
30,87,0
31,105,0
32,94,1
33,89,0
34,26,0
35,28,0
36,21,0
37,110,1
38,102,0
39,84,0
40,133,0
41,130,1
42,122,4
43,95,1
44,102,1
45,100,0
46,74,0
47,120,1
48,73,3
49,94,0
50,115,0
51,44,0
52,44,0
53,69,0
54,53,0
55,39,0
56,43,4
57,54,1
58,56,0
59,22,0
61,50,0
62,62,0
63,56,0
64,56,0
65,61,0
66,66,8
67,44,0
68,38,0
69,7,0
70,7,0
71,13,0
72,13,0
73,52,0
74,10,0
75,13,1
76,43,0
77,28,0
78,29,0
79,34,0
80,45,0
81,32,0
82,41,0
84,47,0
85,27,2
86,25,1
88,28,0
89,17,0
90,19,0
91,20,0
92,25,0
93,18,0
94,16,0
95,26,0
96,52,0
97,54,0
98,52,0
99,52,0
100,52,0
101,54,0
102,98,18
103,40,1
104,58,0
105,12,0
106,59,0
107,34,5
108,30,1
110,69,2
111,57,0
112,62,1
113,50,3
114,54,0
115,55,0
116,60,0
117,59,0
118,56,0
119,50,0
120,54,0
121,50,0
122,50,0
123,53,0
124,50,0
125,54,0
126,60,0
127,51,0
129,80,9
130,82,8
131,68,0
132,89,6
133,56,0
134,33,0
135,107,22
136,66,0
137,58,29
138,51,0
139,68,1
140,56,1
141,24,0
143,23,0
144,11,0
145,16,0
146,29,0
147,77,4
148,58,0
149,33,0
150,41,0
151,93,0
152,92,0
153,65,0
154,32,1
155,78,1
156,30,0
157,71,0
158,33,0
159,34,0
161,72,0
162,64,11
163,141,12
164,57,4
166,52,0
167,40,0
168,42,0
169,41,0
171,83,12
172,57,1
173,61,0
174,5,0
175,23,0
176,21,0
177,22,0
178,7,0
179,59,0
180,44,0
181,42,0
182,63,0
183,56,0
184,57,0
186,41,0
187,44,0
189,6,0
190,44,0
191,59,0
193,56,0
194,54,0
195,56,0
196,55,0
197,53,0
198,53,0
199,49,0
200,57,3
202,94,0
203,144,0
204,56,0
205,136,1
206,274,1
207,173,0
209,106,1
210,207,6
212,114,0
213,29,0
214,123,1
216,305,11
218,60,0
219,28,0
221,51,0
222,23,0
223,32,0
224,58,5
227,28,0
228,29,0
231,227,0
237,28,0
244,32,0
245,31,0
247,230,0
248,52,0
249,27,0
250,60,1
999,125,0
25501,49,0
25502,22,0
25503,29,0
25504,94,0
25505,151,0
25506,120,0
25507,17,0
25508,123,0
25509,145,0
25510,28,0
25511,31,0
25512,47,0
25513,20,0
