rgn_id_2,num_spp_tb,num_spp_sc
1,750,1
2,257,1
3,583,4
4,132,1
5,1938,43
6,1702,4
7,2021,5
8,1656,1
9,1540,3
10,286,0
11,1306,4
12,229,0
13,1213,7
14,2249,17
15,2673,43
16,2757,418
17,2464,17
18,1655,18
19,1193,0
20,588,0
21,304,0
24,1123,0
25,1851,4
26,1256,3
28,1252,1
29,1231,0
30,1161,0
31,1373,5
32,1194,4
33,1221,0
34,303,0
35,302,0
36,248,0
37,1338,8
38,1118,2
39,1191,5
40,1447,2
41,1598,8
42,1502,20
43,1336,2
44,1397,1
45,1019,1
46,971,0
47,1417,2
48,1020,21
49,952,0
50,1146,3
51,430,0
52,440,0
53,660,2
54,619,0
55,528,1
56,722,43
57,686,3
58,770,1
59,178,0
61,398,0
62,825,0
63,793,0
64,833,0
65,797,0
66,887,9
67,337,0
68,340,0
69,51,0
70,58,0
71,127,0
72,117,0
73,436,2
74,100,0
75,129,1
76,393,0
77,278,0
78,294,0
79,307,1
80,399,0
81,293,0
82,339,0
84,395,0
85,355,9
86,334,7
88,217,1
89,116,0
90,141,0
91,136,0
92,191,1
93,125,2
94,101,0
95,184,2
96,757,1
97,746,1
98,682,0
99,684,0
100,669,1
101,594,1
102,1316,94
103,638,3
104,750,0
105,84,0
106,737,0
107,211,8
108,437,8
110,1326,13
111,994,0
112,1224,2
113,875,3
114,1065,4
115,1093,0
116,1190,2
117,1082,0
118,1035,0
119,950,0
120,1014,0
121,959,0
122,983,0
123,999,0
124,967,2
125,1059,0
126,1182,3
127,990,0
129,1785,28
130,1667,16
131,1654,0
132,1863,20
133,1105,1
134,737,0
135,2046,160
136,1404,0
137,875,55
138,703,4
139,1311,9
140,1035,3
141,237,0
143,247,2
144,50,0
145,181,0
146,230,1
147,1091,60
148,813,0
149,291,0
150,693,0
151,1221,0
152,1232,0
153,908,3
154,286,2
155,1253,10
156,282,0
157,939,0
158,277,0
159,288,0
161,1103,1
162,639,71
163,2244,140
164,1080,9
166,996,0
167,836,0
168,820,0
169,797,0
171,1073,66
172,411,3
173,431,0
174,45,0
175,185,0
176,167,0
177,177,0
178,64,0
179,692,1
180,478,0
181,459,1
182,785,2
183,684,0
184,470,2
186,320,0
187,361,1
189,48,0
190,444,0
191,719,0
193,786,0
194,768,1
195,725,0
196,722,2
197,641,0
198,738,0
199,633,0
200,718,24
202,1372,2
203,1661,10
204,570,0
205,1500,4
206,2433,1
207,1669,1
208,1,0
209,1451,10
210,2429,60
212,1166,0
213,197,7
214,1213,5
216,3031,74
218,623,0
219,268,0
221,964,0
222,161,0
223,237,0
224,507,50
227,237,0
228,244,0
231,2072,0
237,329,0
244,529,2
245,500,0
247,1655,0
248,994,0
249,459,0
250,1082,1
999,1204,22
25501,690,0
25502,377,0
25503,359,0
25504,933,0
25505,1744,0
25506,1571,1
25507,162,0
25508,1239,0
25509,1452,0
25510,323,0
25511,255,0
25512,754,0
25513,304,0
